shipment_id,order_id,route_id,carrier_id,shipment_date,promised_delivery_date,actual_delivery_date,status,weight_kg,fuel_cost_index,weather_score,traffic_score,planned_cost,actual_cost,delay_minutes,on_time_flag
1,ORD00001,302,204,2024-08-02 00:00:00,2024-08-02 11:34:45.166136,2024-08-02 12:08:45.166136,Delivered,336.17,1.065,0.742,0.406,9202.53,9314.08,34,0
2,ORD00002,306,201,2025-03-21 00:00:00,2025-03-21 19:05:12.191119,2025-03-21 20:28:12.191119,Delivered,442.0,1.307,0.393,0.62,35684.88,35758.1,83,0
3,ORD00003,308,203,2024-02-22 00:00:00,2024-02-22 17:15:03.324516,2024-02-22 17:59:03.324516,Delivered,487.6,1.19,0.355,0.69,60674.81,60548.04,44,0
4,ORD00004,303,201,2024-02-13 00:00:00,2024-02-13 13:35:27.413154,2024-02-13 14:20:27.413154,Delivered,153.87,0.986,0.735,0.534,16344.98,16305.4,45,0
5,ORD00005,307,202,2024-03-05 00:00:00,2024-03-05 15:57:23.267511,2024-03-05 16:56:23.267511,Delivered,542.0,0.905,0.481,0.187,16936.31,17180.03,59,0
6,ORD00006,303,202,2024-03-02 00:00:00,2024-03-02 14:10:24.967429,2024-03-02 15:20:24.967429,Delivered,233.19,1.1,0.845,0.32,16944.9,17071.26,70,0
7,ORD00007,304,204,2025-01-27 00:00:00,2025-01-27 07:23:06.447266,2025-01-27 07:33:06.447266,Delivered,593.01,0.966,0.633,0.224,6493.56,6836.53,10,0
8,ORD00008,306,202,2024-03-26 00:00:00,2024-03-26 21:34:50.482350,2024-03-26 22:53:50.482350,Delivered,153.16,0.927,0.623,0.679,23510.08,23626.89,79,0
9,ORD00009,305,202,2024-07-08 00:00:00,2024-07-08 04:44:36.131342,2024-07-08 03:18:36.131342,Delivered,482.19,0.965,0.458,0.755,4225.58,4154.39,-86,1
10,ORD00010,306,204,2024-09-24 00:00:00,2024-09-24 20:42:39.107317,2024-09-24 20:35:39.107317,Delivered,438.42,0.871,0.545,0.165,17565.33,17487.46,-7,1
11,ORD00011,308,201,2024-02-22 00:00:00,2024-02-22 18:20:23.355471,2024-02-22 19:01:23.355471,Delivered,559.17,0.862,0.548,0.653,19050.75,18988.42,41,0
12,ORD00012,307,201,2024-12-14 00:00:00,2024-12-14 17:23:02.456588,2024-12-14 17:24:02.456588,Delivered,323.49,1.086,0.446,0.672,21886.43,22085.81,1,0
13,ORD00013,305,202,2025-03-16 00:00:00,2025-03-16 04:38:35.717907,2025-03-16 06:47:35.717907,Delivered,877.05,1.063,0.689,0.709,4655.64,4855.23,129,0
14,ORD00014,302,201,2024-07-26 00:00:00,2024-07-26 09:47:38.879818,2024-07-26 11:47:38.879818,Delivered,451.47,1.027,0.704,0.743,12017.71,12038.67,120,0
15,ORD00015,307,203,2024-10-30 00:00:00,2024-10-30 16:46:11.918496,2024-10-30 17:14:11.918496,Delivered,446.26,1.113,0.867,0.585,51748.19,51557.61,28,0
16,ORD00016,301,201,2024-10-03 00:00:00,2024-10-03 05:13:41.589302,2024-10-03 06:15:41.589302,Delivered,246.66,0.831,1.0,0.519,4052.25,4352.15,62,0
17,ORD00017,308,203,2024-04-08 00:00:00,2024-04-08 18:36:22.065707,2024-04-08 18:51:22.065707,Delivered,334.45,1.006,0.064,0.567,51309.85,51230.17,15,0
18,ORD00018,306,201,2024-04-23 00:00:00,2024-04-23 20:11:11.324051,2024-04-23 21:24:11.324051,Delivered,614.95,1.043,0.565,0.271,28472.11,28807.8,73,0
19,ORD00019,304,203,2024-01-13 00:00:00,2024-01-13 06:49:00.243763,2024-01-13 07:19:00.243763,Delivered,346.31,0.918,0.674,0.467,19268.32,19668.44,30,0
20,ORD00020,307,203,2024-06-18 00:00:00,2024-06-18 15:19:27.102957,2024-06-18 15:14:27.102957,Delivered,291.25,1.008,0.432,0.718,46858.68,46981.01,-5,1
21,ORD00021,303,201,2024-11-03 00:00:00,2024-11-03 12:41:31.508521,2024-11-03 13:53:31.508521,Delivered,298.07,1.101,0.052,0.328,18245.77,18110.98,72,0
22,ORD00022,302,202,2024-10-04 00:00:00,2024-10-04 09:39:24.735369,2024-10-04 09:26:24.735369,Delivered,545.84,0.959,0.254,0.546,10429.22,10537.2,-13,1
23,ORD00023,307,203,2024-10-16 00:00:00,2024-10-16 16:00:06.529000,2024-10-16 17:58:06.529000,Delivered,446.67,1.05,0.739,0.887,48809.42,49256.46,118,0
24,ORD00024,307,202,2024-09-24 00:00:00,2024-09-24 16:31:53.040039,2024-09-24 17:36:53.040039,Delivered,579.3,0.942,0.66,0.478,17631.04,17677.43,65,0
25,ORD00025,304,203,2024-03-15 00:00:00,2024-03-15 08:21:43.250083,2024-03-15 09:08:43.250083,Delivered,292.18,1.105,0.695,0.374,23209.42,22981.64,47,0
26,ORD00026,302,202,2024-12-20 00:00:00,2024-12-20 08:46:45.947625,2024-12-20 09:46:45.947625,Delivered,478.35,1.082,0.876,0.504,11761.7,11858.28,60,0
27,ORD00027,305,204,2025-01-13 00:00:00,2025-01-13 04:39:26.680074,2025-01-13 06:07:26.680074,Delivered,509.29,1.201,0.612,0.565,4179.6,4365.61,88,0
28,ORD00028,307,204,2024-06-13 00:00:00,2024-06-13 16:03:36.838517,2024-06-13 16:25:36.838517,Delivered,106.21,1.035,0.661,0.208,15397.61,15634.12,22,0
29,ORD00029,306,201,2024-01-19 00:00:00,2024-01-19 20:58:51.541652,2024-01-19 21:58:51.541652,Delivered,271.1,0.965,0.299,0.496,26354.35,26567.84,60,0
30,ORD00030,303,204,2024-02-13 00:00:00,2024-02-13 15:31:57.860087,2024-02-13 16:24:57.860087,Delivered,571.84,0.968,0.561,0.578,11847.24,11761.3,53,0
31,ORD00031,304,203,2025-01-08 00:00:00,2025-01-08 09:26:12.316821,2025-01-08 09:13:12.316821,Delivered,287.26,0.928,0.375,0.471,19486.48,19569.77,-13,1
32,ORD00032,305,201,2025-03-22 00:00:00,2025-03-22 03:57:32.939448,2025-03-22 04:35:32.939448,Delivered,553.55,1.069,0.072,0.572,5035.6,5377.4,38,0
33,ORD00033,305,204,2024-03-05 00:00:00,2024-03-05 05:20:26.214905,2024-03-05 07:15:26.214905,Delivered,352.5,0.919,0.547,0.774,3196.96,3302.01,115,0
34,ORD00034,306,202,2024-12-16 00:00:00,2024-12-16 21:06:35.496263,2024-12-16 22:58:35.496263,Delivered,304.03,1.192,0.63,0.539,30226.91,30694.99,112,0
35,ORD00035,302,203,2025-01-03 00:00:00,2025-01-03 06:31:18.590831,2025-01-03 06:25:18.590831,Delivered,877.07,1.107,0.483,0.396,29892.75,30144.18,-6,1
36,ORD00036,301,201,2024-11-01 00:00:00,2024-11-01 05:36:36.322592,2024-11-01 05:43:36.322592,Delivered,456.02,1.106,0.117,0.789,5393.35,5016.59,7,0
37,ORD00037,305,204,2025-02-04 00:00:00,2025-02-04 03:17:47.823218,2025-02-04 02:13:47.823218,Delivered,403.96,0.996,0.536,0.577,3466.35,3231.54,-64,1
38,ORD00038,304,202,2024-04-02 00:00:00,2024-04-02 08:40:10.821176,2024-04-02 08:51:10.821176,Delivered,189.55,1.074,0.569,0.571,9081.18,8868.89,11,0
39,ORD00039,303,201,2025-03-08 00:00:00,2025-03-08 15:57:53.010478,2025-03-08 16:20:53.010478,Delivered,380.23,1.026,0.559,0.36,17000.61,17157.16,23,0
40,ORD00040,301,203,2024-06-02 00:00:00,2024-06-02 06:45:27.027756,2024-06-02 08:18:27.027756,Delivered,396.97,1.369,0.694,0.562,15406.49,15420.49,93,0
41,ORD00041,307,202,2024-03-26 00:00:00,2024-03-26 15:13:36.390106,2024-03-26 16:50:36.390106,Delivered,537.65,1.109,0.462,0.544,20769.93,20806.61,97,0
42,ORD00042,305,203,2024-06-28 00:00:00,2024-06-28 04:59:48.134687,2024-06-28 06:42:48.134687,Delivered,302.88,0.832,0.782,0.882,9049.87,9168.19,103,0
43,ORD00043,302,204,2025-02-11 00:00:00,2025-02-11 09:45:39.787031,2025-02-11 10:30:39.787031,Delivered,244.04,1.091,0.323,0.385,9423.19,9531.07,45,0
44,ORD00044,306,201,2024-10-01 00:00:00,2024-10-01 21:45:04.993644,2024-10-01 23:02:04.993644,Delivered,381.57,1.222,0.71,0.337,33350.71,33529.64,77,0
45,ORD00045,302,201,2024-01-10 00:00:00,2024-01-10 11:59:49.229365,2024-01-10 15:30:49.229365,Delivered,311.21,0.878,1.0,0.625,10278.28,10661.91,211,0
46,ORD00046,303,202,2025-02-21 00:00:00,2025-02-21 14:09:34.320261,2025-02-21 15:43:34.320261,Delivered,312.99,0.986,0.672,0.816,15180.49,15474.39,94,0
47,ORD00047,302,201,2024-05-11 00:00:00,2024-05-11 10:49:12.884662,2024-05-11 11:12:12.884662,Delivered,473.2,1.229,0.123,0.4,14377.45,14550.88,23,0
48,ORD00048,302,201,2024-11-04 00:00:00,2024-11-04 12:12:30.421893,2024-11-04 14:10:30.421893,Delivered,480.93,0.823,0.609,0.654,9624.06,9785.31,118,0
49,ORD00049,308,202,2025-02-14 00:00:00,2025-02-14 19:30:35.176725,2025-02-14 21:48:35.176725,Delivered,339.97,1.099,0.651,0.43,22579.26,22778.33,138,0
50,ORD00050,306,203,2024-10-09 00:00:00,2024-10-09 20:26:50.475216,2024-10-09 21:36:50.475216,Delivered,259.65,1.02,0.285,0.397,64289.69,64011.24,70,0
