event_id,shipment_id,event_timestamp,event_type,event_city,latitude,longitude,event_delay_minutes
1,1,2024-08-02 00:00:00,Picked Up,Mysuru,14.7585,80.86629,0
2,1,2024-08-02 03:23:00,In Transit,Bengaluru,17.86835,77.76819,0
3,1,2024-08-02 06:47:00,At Hub,Bengaluru,12.00533,80.12235,1
4,1,2024-08-02 10:04:00,Out For Delivery,Mysuru,16.7297,78.73104,1
5,1,2024-08-02 12:08:00,Delivered,Hyderabad,13.08188,74.11396,0
6,2,2025-03-21 00:00:00,Picked Up,Chennai,14.14691,77.11786,0
7,2,2025-03-21 05:43:00,In Transit,Chennai,15.25792,75.06282,0
8,2,2025-03-21 11:27:00,At Hub,Chennai,16.82312,73.72755,13
9,2,2025-03-21 16:59:00,Out For Delivery,Mysuru,15.46781,79.40955,0
10,2,2025-03-21 20:28:00,Delivered,Bengaluru,13.23716,77.02526,0
11,3,2024-02-22 00:00:00,Picked Up,Mysuru,16.65401,72.90876,0
12,3,2024-02-22 05:02:00,In Transit,Mysuru,16.78564,74.00061,0
13,3,2024-02-22 10:04:00,At Hub,Pune,17.45283,76.37334,0
14,3,2024-02-22 14:55:00,Out For Delivery,Bengaluru,12.56173,76.85756,0
15,3,2024-02-22 17:59:00,Delivered,Pune,14.21189,77.0766,17
16,4,2024-02-13 00:00:00,Picked Up,Mumbai,16.25638,74.12672,0
17,4,2024-02-13 04:00:00,In Transit,Bengaluru,19.93539,79.32117,0
18,4,2024-02-13 08:01:00,At Hub,Bengaluru,19.67364,80.37448,0
19,4,2024-02-13 11:53:00,Out For Delivery,Bengaluru,12.26988,74.22465,16
20,4,2024-02-13 14:20:00,Delivered,Chennai,11.89348,75.36291,7
21,5,2024-03-05 00:00:00,Picked Up,Chennai,14.88149,74.88787,0
22,5,2024-03-05 04:44:00,In Transit,Pune,18.71002,75.63943,0
23,5,2024-03-05 09:28:00,At Hub,Pune,12.72604,79.55933,10
24,5,2024-03-05 14:03:00,Out For Delivery,Bengaluru,12.14859,81.18461,0
25,5,2024-03-05 16:56:00,Delivered,Pune,11.54804,79.67606,0
26,6,2024-03-02 00:00:00,Picked Up,Chennai,17.64966,78.91526,0
27,6,2024-03-02 04:17:00,In Transit,Mysuru,18.21005,73.15159,0
28,6,2024-03-02 08:35:00,At Hub,Mysuru,14.61865,73.51965,14
29,6,2024-03-02 12:43:00,Out For Delivery,Mysuru,14.37881,73.05931,9
30,6,2024-03-02 15:20:00,Delivered,Pune,14.20555,75.36161,19
31,7,2025-01-27 00:00:00,Picked Up,Mumbai,17.84757,78.11051,0
32,7,2025-01-27 02:06:00,In Transit,Chennai,19.21875,76.65549,0
33,7,2025-01-27 04:13:00,At Hub,Mumbai,18.11883,77.43924,10
34,7,2025-01-27 06:15:00,Out For Delivery,Pune,18.20741,76.8454,0
35,7,2025-01-27 07:33:00,Delivered,Hyderabad,11.72115,73.44944,0
36,8,2024-03-26 00:00:00,Picked Up,Bengaluru,11.77343,78.10041,0
37,8,2024-03-26 06:24:00,In Transit,Chennai,14.2349,76.97542,0
38,8,2024-03-26 12:48:00,At Hub,Mysuru,19.39583,74.69377,17
39,8,2024-03-26 18:59:00,Out For Delivery,Mumbai,13.49054,73.17742,27
40,8,2024-03-26 22:53:00,Delivered,Hyderabad,14.02084,73.91875,0
41,9,2024-07-08 00:00:00,Picked Up,Hyderabad,19.58837,79.61146,0
42,9,2024-07-08 00:55:00,In Transit,Chennai,17.01061,80.16885,0
43,9,2024-07-08 01:50:00,At Hub,Chennai,19.26526,77.24621,0
44,9,2024-07-08 02:44:00,Out For Delivery,Hyderabad,18.52473,80.3856,12
45,9,2024-07-08 03:18:00,Delivered,Bengaluru,13.48304,76.25855,0
46,10,2024-09-24 00:00:00,Picked Up,Bengaluru,18.61673,80.07443,0
47,10,2024-09-24 05:45:00,In Transit,Mumbai,11.56048,76.99458,0
48,10,2024-09-24 11:31:00,At Hub,Bengaluru,15.13148,74.45455,0
49,10,2024-09-24 17:05:00,Out For Delivery,Hyderabad,19.70331,75.34419,0
50,10,2024-09-24 20:35:00,Delivered,Hyderabad,16.01348,78.68657,0
51,11,2024-02-22 00:00:00,Picked Up,Pune,14.66358,81.05168,0
52,11,2024-02-22 05:19:00,In Transit,Hyderabad,19.87329,74.71568,0
53,11,2024-02-22 10:38:00,At Hub,Bengaluru,13.97811,72.82461,0
